# This file was produced by bcftools stats (1.21+htslib-1.21) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /project/cphg-millerlab/software/MonopogenLite/resources/1kGP_high_coverage_Illumina.SNVonly_poly.filtered_AF_5e-04.norm.fixvariantid.chr19.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/project/cphg-millerlab/software/MonopogenLite/resources/1kGP_high_coverage_Illumina.SNVonly_poly.filtered_AF_5e-04.norm.fixvariantid.chr19.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	3202
SN	0	number of records:	847683
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	847683
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	590189	257494	2.29	590189	257494	2.29
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	0	0	0	0	0	0	0
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000312	87991	62300	25691	0	0	0	0
AF	0	0.000625	101512	71601	29911	0	0	0	0
AF	0	0.000937	60840	42644	18196	0	0	0	0
AF	0	0.001249	42886	29945	12941	0	0	0	0
AF	0	0.001562	32803	22897	9906	0	0	0	0
AF	0	0.001874	27116	18815	8301	0	0	0	0
AF	0	0.002186	21309	14744	6565	0	0	0	0
AF	0	0.002498	18437	12793	5644	0	0	0	0
AF	0	0.002811	15709	10929	4780	0	0	0	0
AF	0	0.003123	14418	10042	4376	0	0	0	0
AF	0	0.003435	12685	8699	3986	0	0	0	0
AF	0	0.003748	10831	7475	3356	0	0	0	0
AF	0	0.004060	10220	7034	3186	0	0	0	0
AF	0	0.004372	9143	6314	2829	0	0	0	0
AF	0	0.004685	8532	5877	2655	0	0	0	0
AF	0	0.004997	7859	5390	2469	0	0	0	0
AF	0	0.005309	7305	5075	2230	0	0	0	0
AF	0	0.005621	6738	4664	2074	0	0	0	0
AF	0	0.005934	6280	4295	1985	0	0	0	0
AF	0	0.006246	5985	4041	1944	0	0	0	0
AF	0	0.006558	5538	3860	1678	0	0	0	0
AF	0	0.006871	5236	3623	1613	0	0	0	0
AF	0	0.007183	4743	3342	1401	0	0	0	0
AF	0	0.007495	4743	3254	1489	0	0	0	0
AF	0	0.007808	4694	3285	1409	0	0	0	0
AF	0	0.008120	4147	2916	1231	0	0	0	0
AF	0	0.008432	4053	2764	1289	0	0	0	0
AF	0	0.008745	4065	2762	1303	0	0	0	0
AF	0	0.009057	3803	2610	1193	0	0	0	0
AF	0	0.009369	3509	2416	1093	0	0	0	0
AF	0	0.009681	3329	2293	1036	0	0	0	0
AF	0	0.009994	3159	2147	1012	0	0	0	0
AF	0	0.010306	3004	2048	956	0	0	0	0
AF	0	0.010618	3009	2077	932	0	0	0	0
AF	0	0.010931	2746	1913	833	0	0	0	0
AF	0	0.011243	2423	1654	769	0	0	0	0
