# This file was produced by bcftools stats (1.21+htslib-1.21) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /hpc/local/Rocky8/dhl_ec/software/MonopogenLite/resources/1kGP_high_coverage_Illumina.SNVonly_poly.filtered_AF_5e-04.norm.fixvariantid.chr7.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/hpc/local/Rocky8/dhl_ec/software/MonopogenLite/resources/1kGP_high_coverage_Illumina.SNVonly_poly.filtered_AF_5e-04.norm.fixvariantid.chr7.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	3202
SN	0	number of records:	2158300
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	2158300
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1461617	696683	2.10	1461617	696683	2.10
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	0	0	0	0	0	0	0
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000312	221434	151851	69583	0	0	0	0
AF	0	0.000625	254477	173987	80490	0	0	0	0
AF	0	0.000937	153313	104417	48896	0	0	0	0
AF	0	0.001249	107995	73562	34433	0	0	0	0
AF	0	0.001562	82578	56198	26380	0	0	0	0
AF	0	0.001874	66314	44874	21440	0	0	0	0
AF	0	0.002186	54631	36711	17920	0	0	0	0
AF	0	0.002498	47262	32146	15116	0	0	0	0
AF	0	0.002811	41080	27937	13143	0	0	0	0
AF	0	0.003123	35705	24101	11604	0	0	0	0
AF	0	0.003435	33207	22354	10853	0	0	0	0
AF	0	0.003748	28798	19462	9336	0	0	0	0
AF	0	0.004060	25806	17391	8415	0	0	0	0
AF	0	0.004372	23480	15868	7612	0	0	0	0
AF	0	0.004685	22305	15030	7275	0	0	0	0
AF	0	0.004997	20951	13989	6962	0	0	0	0
AF	0	0.005309	19923	13359	6564	0	0	0	0
AF	0	0.005621	18072	12144	5928	0	0	0	0
AF	0	0.005934	17248	11539	5709	0	0	0	0
AF	0	0.006246	15856	10678	5178	0	0	0	0
AF	0	0.006558	14449	9693	4756	0	0	0	0
AF	0	0.006871	13682	9290	4392	0	0	0	0
AF	0	0.007183	12212	8066	4146	0	0	0	0
AF	0	0.007495	11838	7943	3895	0	0	0	0
AF	0	0.007808	11461	7796	3665	0	0	0	0
AF	0	0.008120	10950	7272	3678	0	0	0	0
AF	0	0.008432	10498	7052	3446	0	0	0	0
AF	0	0.008745	10315	6946	3369	0	0	0	0
AF	0	0.009057	9604	6463	3141	0	0	0	0
AF	0	0.009369	8738	5889	2849	0	0	0	0
AF	0	0.009681	8412	5725	2687	0	0	0	0
AF	0	0.009994	8298	5546	2752	0	0	0	0
AF	0	0.010306	8016	5350	2666	0	0	0	0
AF	0	0.010618	7353	4947	2406	0	0	0	0
AF	0	0.010931	7448	4904	2544	0	0	0	0
AF	0	0.011243	7596	5068	2528	0	0	0	0
