# This file was produced by bcftools stats (1.21+htslib-1.21) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /hpc/local/Rocky8/dhl_ec/software/MonopogenLite/resources/1kGP_high_coverage_Illumina.SNVonly_poly.filtered_AF_5e-04.norm.fixvariantid.chrX.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/hpc/local/Rocky8/dhl_ec/software/MonopogenLite/resources/1kGP_high_coverage_Illumina.SNVonly_poly.filtered_AF_5e-04.norm.fixvariantid.chrX.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	3202
SN	0	number of records:	1607187
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1607187
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1077301	529886	2.03	1077301	529886	2.03
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	0	0	0	0	0	0	0
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000312	248309	167802	80507	0	0	0	0
AF	0	0.000625	158311	106593	51718	0	0	0	0
AF	0	0.000937	174375	117548	56827	0	0	0	0
AF	0	0.001249	58669	39643	19026	0	0	0	0
AF	0	0.001562	84788	57236	27552	0	0	0	0
AF	0	0.001874	33755	22591	11164	0	0	0	0
AF	0	0.002186	54874	36861	18013	0	0	0	0
AF	0	0.002498	23740	15956	7784	0	0	0	0
AF	0	0.002811	39524	26413	13111	0	0	0	0
AF	0	0.003123	17743	11930	5813	0	0	0	0
AF	0	0.003435	31355	21040	10315	0	0	0	0
AF	0	0.003748	14391	9636	4755	0	0	0	0
AF	0	0.004060	25107	16779	8328	0	0	0	0
AF	0	0.004372	11578	7724	3854	0	0	0	0
AF	0	0.004685	20998	14077	6921	0	0	0	0
AF	0	0.004997	9982	6708	3274	0	0	0	0
AF	0	0.005309	17273	11631	5642	0	0	0	0
AF	0	0.005621	8164	5407	2757	0	0	0	0
AF	0	0.005934	14887	9870	5017	0	0	0	0
AF	0	0.006246	7302	4954	2348	0	0	0	0
AF	0	0.006558	13332	8892	4440	0	0	0	0
AF	0	0.006871	6237	4151	2086	0	0	0	0
AF	0	0.007183	11355	7660	3695	0	0	0	0
AF	0	0.007495	5756	3806	1950	0	0	0	0
AF	0	0.007808	10279	6821	3458	0	0	0	0
AF	0	0.008120	5133	3429	1704	0	0	0	0
AF	0	0.008432	9854	6580	3274	0	0	0	0
AF	0	0.008745	4972	3306	1666	0	0	0	0
AF	0	0.009057	8736	5870	2866	0	0	0	0
AF	0	0.009369	4379	2938	1441	0	0	0	0
AF	0	0.009681	7995	5358	2637	0	0	0	0
AF	0	0.009994	3844	2605	1239	0	0	0	0
AF	0	0.010306	7482	5010	2472	0	0	0	0
AF	0	0.010618	3703	2449	1254	0	0	0	0
AF	0	0.010931	6506	4342	2164	0	0	0	0
AF	0	0.011243	3232	2130	1102	0	0	0	0
